experiment,model,split,qid,condition,correct,got_gold,pred,gold
interaction,gpt-oss-120b,hier,c81134db64a98f22e28cddfb7de0a1a5,flat_leaf,0,1,,['641.0']
interaction,gpt-oss-120b,hier,c81134db64a98f22e28cddfb7de0a1a5,header_path,0,1,,['641.0']
interaction,gpt-oss-120b,hier,c486681bfdc34de8cf73363a0e33bc8a,flat_values,0,1,,['1426352.0']
interaction,gpt-oss-120b,hier,c486681bfdc34de8cf73363a0e33bc8a,flat_leaf,0,1,,['1426352.0']
interaction,gpt-oss-120b,hier,c486681bfdc34de8cf73363a0e33bc8a,header_path,0,1,,['1426352.0']
interaction,gpt-oss-120b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,flat_values,1,1,14.29,['14.29']
interaction,gpt-oss-120b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,flat_leaf,0,1,3:43.62,['14.29']
interaction,gpt-oss-120b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,header_path,1,1,14.29,['14.29']
interaction,gpt-oss-120b,hier,47d85b7882f9f3eaa0ef0096a5468423,flat_values,0,1,,['3.0']
interaction,gpt-oss-120b,hier,47d85b7882f9f3eaa0ef0096a5468423,flat_leaf,1,1,3,['3.0']
interaction,gpt-oss-120b,hier,47d85b7882f9f3eaa0ef0096a5468423,header_path,1,1,3,['3.0']
interaction,gpt-oss-120b,hier,da4ddf61de0f34ee83b7829102ffe6d9,flat_values,0,1,,['15 to 19']
interaction,gpt-oss-120b,hier,da4ddf61de0f34ee83b7829102ffe6d9,flat_leaf,0,1,,['15 to 19']
interaction,gpt-oss-120b,hier,da4ddf61de0f34ee83b7829102ffe6d9,header_path,1,1,15 to 19,['15 to 19']
interaction,gpt-oss-120b,hier,9aacfbb741d62de704b6e88938389c40,flat_values,0,1,,['women']
interaction,gpt-oss-120b,hier,9aacfbb741d62de704b6e88938389c40,flat_leaf,1,1,women,['women']
interaction,gpt-oss-120b,hier,9aacfbb741d62de704b6e88938389c40,header_path,1,1,women,['women']
interaction,gpt-oss-120b,hier,1972155590794ace1ebadbc045332edb,flat_values,0,1,,['government-assisted refugees']
interaction,gpt-oss-120b,hier,1972155590794ace1ebadbc045332edb,flat_leaf,1,1,government-assisted refugees,['government-assisted refugees']
interaction,gpt-oss-120b,hier,1972155590794ace1ebadbc045332edb,header_path,1,1,government-assisted refugees,['government-assisted refugees']
interaction,gpt-oss-120b,hier,b490e86698ea52bec432fd2c062eded2,flat_values,0,1,,['14.4']
interaction,gpt-oss-120b,hier,b490e86698ea52bec432fd2c062eded2,flat_leaf,0,1,,['14.4']
interaction,gpt-oss-120b,hier,b490e86698ea52bec432fd2c062eded2,header_path,1,1,14.4,['14.4']
interaction,gpt-oss-120b,hier,a080b456f9a596237e7683fce6d819d9,flat_values,0,1,,['0.681511']
interaction,gpt-oss-120b,hier,a080b456f9a596237e7683fce6d819d9,flat_leaf,0,1,,['0.681511']
interaction,gpt-oss-120b,hier,a080b456f9a596237e7683fce6d819d9,header_path,0,1,,['0.681511']
interaction,gpt-oss-120b,hier,550428282b3a554a8ff831f7149e00bc,flat_values,0,1,,['128.0']
interaction,gpt-oss-120b,hier,550428282b3a554a8ff831f7149e00bc,flat_leaf,0,1,,['128.0']
interaction,gpt-oss-120b,hier,550428282b3a554a8ff831f7149e00bc,header_path,0,1,,['128.0']
interaction,gpt-oss-120b,hier,ae9c91e2b72da1948845d2b9c96be1f1,flat_values,0,1,4.1,['5.5']
interaction,gpt-oss-120b,hier,ae9c91e2b72da1948845d2b9c96be1f1,flat_leaf,0,1,,['5.5']
interaction,gpt-oss-120b,hier,ae9c91e2b72da1948845d2b9c96be1f1,header_path,0,1,,['5.5']
interaction,gpt-oss-120b,hier,26307595388ef79a529bd08519ff0fa2,flat_values,0,1,,['high school diploma']
interaction,gpt-oss-120b,hier,26307595388ef79a529bd08519ff0fa2,flat_leaf,1,1,high school diploma,['high school diploma']
interaction,gpt-oss-120b,hier,26307595388ef79a529bd08519ff0fa2,header_path,1,1,high school diploma,['high school diploma']
interaction,gpt-oss-120b,hier,2802b5a96c112c97d86cf16d30653006,flat_values,0,1,,['48.2']
interaction,gpt-oss-120b,hier,2802b5a96c112c97d86cf16d30653006,flat_leaf,0,1,,['48.2']
interaction,gpt-oss-120b,hier,2802b5a96c112c97d86cf16d30653006,header_path,0,1,,['48.2']
token_control,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,flat_leaf,0,1,female,['men']
token_control,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,header_path,1,1,men,['men']
token_control,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,header_shuffle,1,1,women,['men']
token_control,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,flat_leaf,0,1,2,['264.0']
token_control,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,header_path,0,1,55,['264.0']
token_control,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,header_shuffle,0,1,0,['264.0']
token_control,llama-8b,hier,76958999926314d82b80a5b39f21ed76,flat_leaf,0,1,13.5,['83.0']
token_control,llama-8b,hier,76958999926314d82b80a5b39f21ed76,header_path,0,1,25.7,['83.0']
token_control,llama-8b,hier,76958999926314d82b80a5b39f21ed76,header_shuffle,0,1,28.4,['83.0']
token_control,llama-8b,hier,76863f9b68412109d717820bb24dc71a,flat_leaf,0,1,82.0,['filipino']
token_control,llama-8b,hier,76863f9b68412109d717820bb24dc71a,header_path,0,1,81.7,['filipino']
token_control,llama-8b,hier,76863f9b68412109d717820bb24dc71a,header_shuffle,0,1,86.1,['filipino']
token_control,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,flat_leaf,0,1,59.0,['25.3']
token_control,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,header_path,1,1,25.3,['25.3']
token_control,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,header_shuffle,0,1,95.0,['25.3']
token_control,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,flat_leaf,0,1,health care and social assistance,['other services']
token_control,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,header_path,0,1,health care and social assistance,['other services']
token_control,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,header_shuffle,0,1,13.1,['other services']
token_control,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,flat_leaf,0,1,22.3,['39.6']
token_control,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,header_path,0,1,22.3,['39.6']
token_control,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,header_shuffle,0,1,80.5,['39.6']
token_control,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,flat_leaf,0,1,611,['641.0']
token_control,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,header_path,1,1,641 + 224 + 49 + 48 + 92 + 35 + 38 + 130,['641.0']
token_control,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,header_shuffle,0,1,48.0 + 19.0 + 4.0 + 4.0 + 5.0 + 3.0 + 4.,['641.0']
token_control,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,flat_leaf,0,1,none,['1426352.0']
token_control,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,header_path,0,1,There is no information about the number,['1426352.0']
token_control,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,header_shuffle,0,1,There is no information about the number,['1426352.0']
token_control,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,flat_leaf,0,1,3:43.62,['14.29']
token_control,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,header_path,1,1,14.29,['14.29']
token_control,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,header_shuffle,0,1,3:43.62,['14.29']
token_control,llama-8b,hier,47d85b7882f9f3eaa0ef0096a5468423,flat_leaf,1,1,3,['3.0']
token_control,llama-8b,hier,47d85b7882f9f3eaa0ef0096a5468423,header_path,1,1,3,['3.0']
token_control,llama-8b,hier,47d85b7882f9f3eaa0ef0096a5468423,header_shuffle,0,1,0,['3.0']
token_control,llama-8b,hier,da4ddf61de0f34ee83b7829102ffe6d9,flat_leaf,0,1,39.0,['15 to 19']
token_control,llama-8b,hier,da4ddf61de0f34ee83b7829102ffe6d9,header_path,0,1,39.0,['15 to 19']
token_control,llama-8b,hier,da4ddf61de0f34ee83b7829102ffe6d9,header_shuffle,0,1,20 to 24,['15 to 19']
token_control,llama-8b,hier,9aacfbb741d62de704b6e88938389c40,flat_leaf,1,1,women,['women']
token_control,llama-8b,hier,9aacfbb741d62de704b6e88938389c40,header_path,1,1,women,['women']
token_control,llama-8b,hier,9aacfbb741d62de704b6e88938389c40,header_shuffle,0,1,men,['women']
token_control,llama-8b,hier,1972155590794ace1ebadbc045332edb,flat_leaf,0,1,47.0,['government-assisted refugees']
token_control,llama-8b,hier,1972155590794ace1ebadbc045332edb,header_path,1,1,Government-assisted refugees,['government-assisted refugees']
token_control,llama-8b,hier,1972155590794ace1ebadbc045332edb,header_shuffle,0,1,Privately sponsored refugees,['government-assisted refugees']
token_control,llama-8b,hier,b490e86698ea52bec432fd2c062eded2,flat_leaf,1,1,14.4,['14.4']
token_control,llama-8b,hier,b490e86698ea52bec432fd2c062eded2,header_path,1,1,14.4,['14.4']
token_control,llama-8b,hier,b490e86698ea52bec432fd2c062eded2,header_shuffle,0,1,(28.5 / 54.3) * 100 = 52.4,['14.4']
token_control,llama-8b,hier,a080b456f9a596237e7683fce6d819d9,flat_leaf,0,1,238768,['0.681511']
token_control,llama-8b,hier,a080b456f9a596237e7683fce6d819d9,header_path,0,1,10,['0.681511']
token_control,llama-8b,hier,a080b456f9a596237e7683fce6d819d9,header_shuffle,0,1,65,['0.681511']
token_control,llama-8b,hier,550428282b3a554a8ff831f7149e00bc,flat_leaf,0,1,0.0,['128.0']
token_control,llama-8b,hier,550428282b3a554a8ff831f7149e00bc,header_path,0,1,107 + 3 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 ,['128.0']
token_control,llama-8b,hier,550428282b3a554a8ff831f7149e00bc,header_shuffle,0,1,83.37 + 4.82 + 2.65 + 2.07 + 0.71 + 1.23,['128.0']
token_control,llama-8b,hier,ae9c91e2b72da1948845d2b9c96be1f1,flat_leaf,0,1,0.0,['5.5']
token_control,llama-8b,hier,ae9c91e2b72da1948845d2b9c96be1f1,header_path,0,1,4.1,['5.5']
token_control,llama-8b,hier,ae9c91e2b72da1948845d2b9c96be1f1,header_shuffle,0,1,0.0,['5.5']
token_control,llama-8b,hier,26307595388ef79a529bd08519ff0fa2,flat_leaf,0,1,0.32,['high school diploma']
token_control,llama-8b,hier,26307595388ef79a529bd08519ff0fa2,header_path,0,1,0.28,['high school diploma']
token_control,llama-8b,hier,26307595388ef79a529bd08519ff0fa2,header_shuffle,0,1,0.28,['high school diploma']
token_control,llama-8b,hier,2802b5a96c112c97d86cf16d30653006,flat_leaf,0,1,65.5,['48.2']
token_control,llama-8b,hier,2802b5a96c112c97d86cf16d30653006,header_path,1,1,48.2,['48.2']
token_control,llama-8b,hier,2802b5a96c112c97d86cf16d30653006,header_shuffle,0,1,100.0,['48.2']
retrieval_pipeline,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,flat_values,0,0,79.0,['men']
retrieval_pipeline,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,flat_leaf,0,0,74.3,['men']
retrieval_pipeline,llama-8b,hier,fe6407e2459997d5f135e8a88892a049,header_path,1,0,men,['men']
retrieval_pipeline,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,flat_values,0,1,There is no information about Clive Clar,['264.0']
retrieval_pipeline,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,flat_leaf,0,1,2,['264.0']
retrieval_pipeline,llama-8b,hier,03e2e33b61115022766eba43568f2a2d,header_path,0,1,223,['264.0']
retrieval_pipeline,llama-8b,hier,76958999926314d82b80a5b39f21ed76,flat_values,0,1,40.5,['83.0']
retrieval_pipeline,llama-8b,hier,76958999926314d82b80a5b39f21ed76,flat_leaf,0,1,68.3,['83.0']
retrieval_pipeline,llama-8b,hier,76958999926314d82b80a5b39f21ed76,header_path,1,1,83.0,['83.0']
retrieval_pipeline,llama-8b,hier,76863f9b68412109d717820bb24dc71a,flat_values,0,0,80.9,['filipino']
retrieval_pipeline,llama-8b,hier,76863f9b68412109d717820bb24dc71a,flat_leaf,0,0,82.0,['filipino']
retrieval_pipeline,llama-8b,hier,76863f9b68412109d717820bb24dc71a,header_path,0,0,81.7,['filipino']
retrieval_pipeline,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,flat_values,0,1,79.0,['25.3']
retrieval_pipeline,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,flat_leaf,0,1,59.0,['25.3']
retrieval_pipeline,llama-8b,hier,8d3373fa0c42ed9d0fa3af23548d1e28,header_path,1,1,25.3,['25.3']
retrieval_pipeline,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,flat_values,0,0,17.4,['other services']
retrieval_pipeline,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,flat_leaf,0,0,"administrative and support, waste manage",['other services']
retrieval_pipeline,llama-8b,hier,7615f60fffd339c61c4b9181ccaeeadd,header_path,0,0,"administrative and support, waste manage",['other services']
retrieval_pipeline,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,flat_values,0,1,10.4,['39.6']
retrieval_pipeline,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,flat_leaf,0,1,15.7,['39.6']
retrieval_pipeline,llama-8b,hier,2b46cca80468a08a89b4679e726b92be,header_path,0,1,22.3,['39.6']
retrieval_pipeline,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,flat_values,0,1,130,['641.0']
retrieval_pipeline,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,flat_leaf,0,1,611,['641.0']
retrieval_pipeline,llama-8b,hier,c81134db64a98f22e28cddfb7de0a1a5,header_path,0,1,224 + 49 + 48 + 92 + 35 + 38 + 130 + 25 ,['641.0']
retrieval_pipeline,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,flat_values,0,0,4938.0,['1426352.0']
retrieval_pipeline,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,flat_leaf,0,0,none,['1426352.0']
retrieval_pipeline,llama-8b,hier,c486681bfdc34de8cf73363a0e33bc8a,header_path,0,0,There is no information about the number,['1426352.0']
retrieval_pipeline,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,flat_values,1,1,14.29,['14.29']
retrieval_pipeline,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,flat_leaf,0,1,3:43.62,['14.29']
retrieval_pipeline,llama-8b,hier,28f1b6d455a8e8b8d9d865fbc8afe22d,header_path,1,1,14.29,['14.29']
retrieval_pipeline,llama-8b,hier,47d85b7882f9f3eaa0ef0096a5468423,flat_values,0,1,11,['3.0']
retrieval_pipeline,llama-8b,hier,47d85b7882f9f3eaa0ef0096a5468423,flat_leaf,1,1,3,['3.0']
retrieval_pipeline,llama-8b,hier,47d85b7882f9f3eaa0ef0096a5468423,header_path,1,1,3,['3.0']
retrieval_pipeline,llama-8b,hier,da4ddf61de0f34ee83b7829102ffe6d9,flat_values,0,0,88.0,['15 to 19']
retrieval_pipeline,llama-8b,hier,da4ddf61de0f34ee83b7829102ffe6d9,flat_leaf,0,0,25 to 34,['15 to 19']
retrieval_pipeline,llama-8b,hier,da4ddf61de0f34ee83b7829102ffe6d9,header_path,1,0,15 to 19,['15 to 19']
retrieval_pipeline,llama-8b,hier,9aacfbb741d62de704b6e88938389c40,flat_values,0,0,65.6,['women']
retrieval_pipeline,llama-8b,hier,9aacfbb741d62de704b6e88938389c40,flat_leaf,1,0,women,['women']
retrieval_pipeline,llama-8b,hier,9aacfbb741d62de704b6e88938389c40,header_path,1,0,women,['women']
retrieval_pipeline,llama-8b,hier,1972155590794ace1ebadbc045332edb,flat_values,0,0,44.4,['government-assisted refugees']
retrieval_pipeline,llama-8b,hier,1972155590794ace1ebadbc045332edb,flat_leaf,0,0,47.0,['government-assisted refugees']
retrieval_pipeline,llama-8b,hier,1972155590794ace1ebadbc045332edb,header_path,1,0,Government-assisted refugees,['government-assisted refugees']
retrieval_pipeline,llama-8b,hier,b490e86698ea52bec432fd2c062eded2,flat_values,0,1,6.7,['14.4']
retrieval_pipeline,llama-8b,hier,b490e86698ea52bec432fd2c062eded2,flat_leaf,1,1,14.4,['14.4']
retrieval_pipeline,llama-8b,hier,b490e86698ea52bec432fd2c062eded2,header_path,1,1,14.4 / 68.8 * 100 - 8.7 / 91.5 * 100,['14.4']
retrieval_pipeline,llama-8b,hier,a080b456f9a596237e7683fce6d819d9,flat_values,0,0,238768 + 64104 + 13659 + 12920 + 12712 +,['0.681511']
retrieval_pipeline,llama-8b,hier,a080b456f9a596237e7683fce6d819d9,flat_leaf,0,0,238768,['0.681511']
retrieval_pipeline,llama-8b,hier,a080b456f9a596237e7683fce6d819d9,header_path,0,0,10,['0.681511']
retrieval_pipeline,llama-8b,hier,550428282b3a554a8ff831f7149e00bc,flat_values,0,1,213,['128.0']
retrieval_pipeline,llama-8b,hier,550428282b3a554a8ff831f7149e00bc,flat_leaf,0,1,213,['128.0']
retrieval_pipeline,llama-8b,hier,550428282b3a554a8ff831f7149e00bc,header_path,1,1,128.0,['128.0']
retrieval_pipeline,llama-8b,hier,ae9c91e2b72da1948845d2b9c96be1f1,flat_values,0,1,0.9,['5.5']
retrieval_pipeline,llama-8b,hier,ae9c91e2b72da1948845d2b9c96be1f1,flat_leaf,0,1,0.0,['5.5']
retrieval_pipeline,llama-8b,hier,ae9c91e2b72da1948845d2b9c96be1f1,header_path,0,1,0.0,['5.5']
retrieval_pipeline,llama-8b,hier,26307595388ef79a529bd08519ff0fa2,flat_values,0,0,0.28,['high school diploma']
retrieval_pipeline,llama-8b,hier,26307595388ef79a529bd08519ff0fa2,flat_leaf,0,0,0.28,['high school diploma']
retrieval_pipeline,llama-8b,hier,26307595388ef79a529bd08519ff0fa2,header_path,0,0,0.28,['high school diploma']
retrieval_pipeline,llama-8b,hier,2802b5a96c112c97d86cf16d30653006,flat_values,0,1,0.0,['48.2']
retrieval_pipeline,llama-8b,hier,2802b5a96c112c97d86cf16d30653006,flat_leaf,0,1,65.5,['48.2']
retrieval_pipeline,llama-8b,hier,2802b5a96c112c97d86cf16d30653006,header_path,1,1,48.2,['48.2']
retrieval_pipeline,llama-8b,hier,58ffb31b4a6c9fa7241722e671be1033,flat_values,0,1,10.8,['40.5']
retrieval_pipeline,llama-8b,hier,58ffb31b4a6c9fa7241722e671be1033,flat_leaf,0,1,43.3,['40.5']
retrieval_pipeline,llama-8b,hier,58ffb31b4a6c9fa7241722e671be1033,header_path,1,1,40.5,['40.5']
retrieval_pipeline,llama-8b,hier,91000ced8fe043bce74aeb836fc37310,flat_values,0,1,There is no information about O'Neill ap,['premier league']
retrieval_pipeline,llama-8b,hier,91000ced8fe043bce74aeb836fc37310,flat_leaf,1,1,premier league,['premier league']
retrieval_pipeline,llama-8b,hier,91000ced8fe043bce74aeb836fc37310,header_path,1,1,premier league,['premier league']
retrieval_pipeline,llama-8b,hier,9d173931d9d7ad242c0aa1776525e09c,flat_values,0,0,(48.0 + 43.0 + 35.0 + 41.0 + 27.0) / (48,['55']
retrieval_pipeline,llama-8b,hier,9d173931d9d7ad242c0aa1776525e09c,flat_leaf,0,0,(28.0 + 27.0 + 21.0 + 26.0) / (28.0 + 27,['55']
retrieval_pipeline,llama-8b,hier,9d173931d9d7ad242c0aa1776525e09c,header_path,0,0,16.0 + 21.0 + 14.0 = 51.0,['55']
retrieval_pipeline,llama-8b,hier,73512fe9ca199714fb81c28e5e4f8d45,flat_values,1,1,278,['278.0']
retrieval_pipeline,llama-8b,hier,73512fe9ca199714fb81c28e5e4f8d45,flat_leaf,0,1,331,['278.0']
retrieval_pipeline,llama-8b,hier,73512fe9ca199714fb81c28e5e4f8d45,header_path,1,1,278,['278.0']
retrieval_pipeline,llama-8b,hier,367af9447305fe92eb98450df65bbb43,flat_values,0,1,73.8,['77.1']
retrieval_pipeline,llama-8b,hier,367af9447305fe92eb98450df65bbb43,flat_leaf,1,1,77.1,['77.1']
retrieval_pipeline,llama-8b,hier,367af9447305fe92eb98450df65bbb43,header_path,1,1,77.1,['77.1']
